line,age,current_club,current_league,foot,height,nationality,position,year,games,goals,minutes,assists,algo
Cristiano Lombardi,22,Benevento Calcio,ITA - Serie A,right,180,Italy,W,13,29,14,2374,2,
Pietro Iemmello,26,Benevento Calcio,ITA - Serie A,right,180,Italy,CF,13,18,2,840,2,
Massimo Coda,29,Benevento Calcio,ITA - Serie A,right,184,Italy,CF,13,36,18,3106,6,
Cheick Diabaté,29,Benevento Calcio,ITA - Serie A,right,194,Mali,CF,13,28,12,1903,1,
Adrian Stoian,27,FC Crotone,ITA - Serie A,both,178,Romania,W,13,15,0,521,2,
Federico Ricci,23,FC Crotone,ITA - Serie A,left,175,Italy,W,13,13,4,790,0,
Andrea Nalini,27,FC Crotone,ITA - Serie A,right,180,Italy,W,13,1,0,76,0,
Moussa Diaby,18,FC Crotone,ITA - Serie A,left,170,France,W,13,,,,,
Marcello Trotta,25,FC Crotone,ITA - Serie A,left,188,Italy,CF,13,41,14,2547,3,
Ante Budimir,26,FC Crotone,ITA - Serie A,left,190,Croatia,CF,13,27,14,1848,5,
Marco Tumminello,19,FC Crotone,ITA - Serie A,left,180,Italy,CF,13,,,,,
Simy,25,FC Crotone,ITA - Serie A,right,198,Nigeria,CF,13,21,0,813,0,
Henry Onyekuru,20,RSC Anderlecht,BEL - Jupiler Pro League,both,175,Nigeria,W,13,,,,,
Francis Amuzu,18,RSC Anderlecht,BEL - Jupiler Pro League,both,170,Belgium  Ghana,W,13,,,,,
Lazar Markovic,24,RSC Anderlecht,BEL - Jupiler Pro League,right,175,Serbia,W,13,49,7,2863,5,
Alexandru Chipciu,28,RSC Anderlecht,BEL - Jupiler Pro League,right,176,Romania,W,13,29,7,2106,6,
Massimo Bruno,24,RSC Anderlecht,BEL - Jupiler Pro League,right,178,Belgium  Italy,W,13,42,16,3000,9,
Lukasz Teodorczyk,26,RSC Anderlecht,BEL - Jupiler Pro League,right,185,Poland,CF,13,38,24,2829,9,
Silvere Ganvoula,21,RSC Anderlecht,BEL - Jupiler Pro League,both,191,Congo,CF,13,3,1,268,0,
Lior Refaelov,31,Club Brugge KV,BEL - Jupiler Pro League,both,175,Israel  Belgium,W,13,37,5,2202,14,
Thibault Vlietinck,20,Club Brugge KV,BEL - Jupiler Pro League,right,178,Belgium,W,13,,,,,
Emmanuel Dennis,20,Club Brugge KV,BEL - Jupiler Pro League,right,174,Nigeria,CF,13,,,,,
Wesley,21,Club Brugge KV,BEL - Jupiler Pro League,right,191,Brazil,CF,13,,,,,
Abdoulay Diaby,26,Club Brugge KV,BEL - Jupiler Pro League,left,173,Mali  France,CF,13,20,4,1157,2,
Jelle Vossen,28,Club Brugge KV,BEL - Jupiler Pro League,right,180,Belgium,CF,13,53,19,4515,9,
Krépin Diatta,19,Club Brugge KV,BEL - Jupiler Pro League,right,173,Senegal,CF,13,,,,,
Leandro Trossard,23,KRC Genk,BEL - Jupiler Pro League,right,172,Belgium,W,13,20,4,1353,0,
Holly Tshimanga,20,KRC Genk,BEL - Jupiler Pro League,,0,Belgium  DR Congo,W,13,,,,,
Dieumerci Ndongala,26,KRC Genk,BEL - Jupiler Pro League,right,170,DR Congo  Belgium,W,13,7,1,285,4,
Edon Zhegrova,18,KRC Genk,BEL - Jupiler Pro League,left,174,Kosovo  Albania,W,13,,,,,
Dante Vanzeir,19,KRC Genk,BEL - Jupiler Pro League,right,175,Belgium,W,13,,,,,
Thomas Buffel,37,KRC Genk,BEL - Jupiler Pro League,both,175,Belgium,W,13,46,7,3567,9,
Marcus Ingvartsen,22,KRC Genk,BEL - Jupiler Pro League,left,187,Denmark,CF,13,5,1,247,0,
Mbwana Samatta,25,KRC Genk,BEL - Jupiler Pro League,both,180,Tanzania,CF,13,10,3,811,2,
Moses Simon,22,KAA Gent,BEL - Jupiler Pro League,both,168,Nigeria,W,13,14,7,1137,3,
Aboubakary Koita,19,KAA Gent II,BEL - Jupiler Pro League,right,175,Belgium  Senegal,W,13,,,,,
Samuel Kalu,20,KAA Gent,BEL - Jupiler Pro League,right,176,Nigeria,W,13,,,,,
Yuya Kubo,24,KAA Gent,BEL - Jupiler Pro League,right,178,Japan,CF,13,38,9,1344,5,
Mamadou Sylla,23,KAA Gent,BEL - Jupiler Pro League,right,184,Senegal  Spain,CF,13,33,6,2327,0,
Roman Yaremchuk,22,KAA Gent,BEL - Jupiler Pro League,right,191,Ukraine,CF,13,19,3,909,1,
Rangelo Janga,25,KAA Gent,BEL - Jupiler Pro League,right,192,Curacao  Netherlands,CF,13,17,1,588,0,
Edmílson Junior,23,Standard Liège,BEL - Jupiler Pro League,right,180,Brazil  Belgium,W,13,21,1,814,1,
Paul-José Mpoku,25,Standard Liège,BEL - Jupiler Pro League,right,174,DR Congo  Belgium,W,13,49,12,3442,9,
Moussa Djenepo,19,Standard Liège,BEL - Jupiler Pro League,,0,Mali,W,13,,,,,
Mehdi Carcela-González,28,Standard Liège,BEL - Jupiler Pro League,left,179,Morocco  Belgium,W,13,33,3,1954,3,
Duje Cop,28,Standard Liège,BEL - Jupiler Pro League,right,186,Croatia,CF,13,50,32,3610,8,
Renaud Emond,26,Standard Liège,BEL - Jupiler Pro League,right,186,Belgium,CF,13,16,3,533,0,
Hassane Bandé,19,KV Mechelen,BEL - Jupiler Pro League,right,178,Burkina Faso,W,13,,,,,
Clément Tainmont,32,KV Mechelen,BEL - Jupiler Pro League,left,185,France,W,13,27,5,2118,2,
Andy Kawaya,21,KV Mechelen,BEL - Jupiler Pro League,left,174,Belgium  DR Congo,W,13,11,4,925,1,
Abou Ouattara,18,KV Mechelen,BEL - Jupiler Pro League,,0,Burkina Faso,W,13,,,,,
Fatos Beqiraj,29,KV Mechelen,BEL - Jupiler Pro League,right,188,Montenegro  Kosovo,CF,13,48,13,2953,8,
Nicolas Verdier,31,KV Mechelen,BEL - Jupiler Pro League,left,187,France,CF,13,35,10,2376,0,
Nicklas Pedersen,30,KV Mechelen,BEL - Jupiler Pro League,right,188,Denmark,CF,13,32,6,1851,3,
Knowledge Musona,27,KV Oostende,BEL - Jupiler Pro League,both,177,Zimbabwe,W,13,29,15,2109,2,
Ibrahima Conté,26,KV Oostende,BEL - Jupiler Pro League,left,177,Guinea  Belgium,W,13,53,3,3856,8,
Nicolas Rajsel,24,KV Oostende,BEL - Jupiler Pro League,right,178,Slovenia  France,W,13,12,1,705,0,
Richairo Zivkovic,21,KV Oostende,BEL - Jupiler Pro League,right,187,Netherlands  Serbia,CF,13,43,14,2344,0,
Zinho Gano,24,KV Oostende,BEL - Jupiler Pro League,right,198,Belgium  Guinea-Bissau,CF,13,19,7,1452,0,
Joseph Akpala,31,KV Oostende,BEL - Jupiler Pro League,right,184,Nigeria  Belgium,CF,13,14,6,1002,0,
Theo Bongonda,22,SV Zulte Waregem,BEL - Jupiler Pro League,left,177,Belgium,W,13,24,2,1224,3,
Nill De Pauw,28,SV Zulte Waregem,BEL - Jupiler Pro League,right,180,Belgium  DR Congo,W,13,46,8,3394,9,
Alessandro Cordaro,31,SV Zulte Waregem,BEL - Jupiler Pro League,both,169,Belgium  Italy,W,13,35,2,2973,11,
Aaron Leya Iseka,20,SV Zulte Waregem,BEL - Jupiler Pro League,right,182,Belgium  DR Congo,CF,13,12,8,1019,0,
Peter Olayinka,22,SV Zulte Waregem,BEL - Jupiler Pro League,both,188,Nigeria,CF,13,,,,,
Ivan Saponjic,20,SV Zulte Waregem,BEL - Jupiler Pro League,right,192,Serbia,CF,13,1,0,13,0,
Hamdi Harbaoui,33,SV Zulte Waregem,BEL - Jupiler Pro League,right,186,Tunisia  Belgium,CF,13,43,24,3130,1,
Ivo Rodrigues,22,Royal Antwerp FC,BEL - Jupiler Pro League,right,180,Portugal,W,13,38,2,1914,3,
Jonathan Pitroipa,31,Royal Antwerp FC,BEL - Jupiler Pro League,right,176,Burkina Faso,W,13,26,0,1668,4,
Romain Habran,23,Royal Antwerp FC,BEL - Jupiler Pro League,right,178,France,W,13,,,,,
Stallone Limbombe,26,Royal Antwerp FC,BEL - Jupiler Pro League,,169,Belgium  DR Congo,W,13,1,0,90,0,
Obbi Oulare,22,Royal Antwerp FC,BEL - Jupiler Pro League,right,196,Belgium  Guinea,CF,13,,,,,
Joaquín Ardaiz,19,Royal Antwerp FC,BEL - Jupiler Pro League,left,183,Uruguay,CF,13,,,,,
William Owusu Acheampong,28,Royal Antwerp FC,BEL - Jupiler Pro League,right,188,Ghana  Portugal,CF,13,,,,,
Björn Vleminckx,32,Royal Antwerp FC,BEL - Jupiler Pro League,right,183,Belgium,CF,13,22,4,1583,0,
Kafoumba Touré,24,Royal Antwerp FC,BEL - Jupiler Pro League,right,183,Mali  Cote d'Ivoire,CF,13,,,,,
Roberto Núñez,22,Royal Antwerp FC,BEL - Jupiler Pro League,right,182,Spain,CF,13,6,3,341,0,
Amara Baby,29,RSC Charleroi,BEL - Jupiler Pro League,right,183,Senegal  France,W,13,25,6,1734,2,
Mamadou Fall,26,RSC Charleroi,BEL - Jupiler Pro League,right,184,Senegal,W,13,28,5,2060,0,
Romain Grange,29,RSC Charleroi,BEL - Jupiler Pro League,right,177,France,W,13,13,0,586,1,
Jordan Remacle,31,RSC Charleroi,BEL - Jupiler Pro League,right,175,Belgium,W,13,20,4,1316,8,
Kaveh Rezaei,25,RSC Charleroi,BEL - Jupiler Pro League,right,185,Iran,CF,13,25,6,2119,2,
Chris Bedia,22,RSC Charleroi,BEL - Jupiler Pro League,,190,Cote d'Ivoire  France,CF,13,,,,,
David Pollet,29,RSC Charleroi,BEL - Jupiler Pro League,left,188,Belgium  France,CF,13,35,13,2167,3,
Igor Vetokele,25,Sint-Truidense VV,BEL - Jupiler Pro League,right,173,Angola  Belgium,W,13,35,15,2580,2,
Cristian Ceballos,25,Sint-Truidense VV,BEL - Jupiler Pro League,left,173,Spain,W,13,24,2,1635,3,
Elton Acolatse,22,Sint-Truidense VV,BEL - Jupiler Pro League,right,182,Netherlands  Ghana,W,13,23,2,1662,2,
Jonathan Legear,30,Sint-Truidense VV,BEL - Jupiler Pro League,right,179,Belgium,W,13,9,0,523,1,
Jordan Botaka,24,Sint-Truidense VV,BEL - Jupiler Pro League,right,184,DR Congo  Netherlands,W,13,43,10,3306,4,
Yohan Boli,24,Sint-Truidense VV,BEL - Jupiler Pro League,,181,Cote d'Ivoire  France,CF,13,18,2,783,0,
Chuba Akpom,22,Sint-Truidense VV,BEL - Jupiler Pro League,right,186,England  Nigeria,CF,13,29,11,2032,4,
Babacar Gueye,23,Sint-Truidense VV,BEL - Jupiler Pro League,right,190,Senegal,CF,13,,,,,
Kurt Abrahams,21,Sint-Truidense VV,BEL - Jupiler Pro League,,0,South Africa,CF,13,,,,,
Nana Opoku Ampomah,22,Waasland-Beveren,BEL - Jupiler Pro League,,175,Ghana,W,13,,,,,
Aleksandar Boljevic,22,Waasland-Beveren,BEL - Jupiler Pro League,both,186,Montenegro,W,13,27,5,1992,1,
Tuur Dierckx,22,Waasland-Beveren,BEL - Jupiler Pro League,both,171,Belgium,W,13,7,0,90,0,
Floriano Vanzo,23,Waasland-Beveren,BEL - Jupiler Pro League,right,180,Belgium  Italy,W,13,5,0,322,1,
Olivier Myny,23,Waasland-Beveren,BEL - Jupiler Pro League,,178,Belgium,W,13,,,,,
Isaac Thelin,25,Waasland-Beveren,BEL - Jupiler Pro League,right,189,Sweden  DR Congo,CF,13,28,8,1854,3,
Ryan Mmaee,20,Waasland-Beveren,BEL - Jupiler Pro League,,183,Belgium  Morocco,CF,13,,,,,
Cherif Ndiaye,22,Waasland-Beveren,BEL - Jupiler Pro League,,188,Senegal,CF,13,,,,,
Steve De Ridder,31,KSC Lokeren,BEL - Jupiler Pro League,right,178,Belgium,W,13,36,12,2977,6,
Bob Straetman,20,KSC Lokeren,BEL - Jupiler Pro League,,0,Belgium,W,13,,,,,
Mohamed Ofkir,21,KSC Lokeren,BEL - Jupiler Pro League,,178,Norway,W,13,,,,,
Guus Hupperts,25,KSC Lokeren,BEL - Jupiler Pro League,right,176,Netherlands,W,13,38,13,2961,6,
Marko Miric,30,KSC Lokeren,BEL - Jupiler Pro League,right,193,Serbia,W,13,24,5,1445,3,
Yusuf Lawal,19,KSC Lokeren,BEL - Jupiler Pro League,right,175,Nigeria,W,13,,,,,
Tom De Sutter,32,KSC Lokeren,BEL - Jupiler Pro League,right,192,Belgium,CF,13,37,13,2623,4,
Jean Alassane Mendy,28,KSC Lokeren,BEL - Jupiler Pro League,right,180,Norway,CF,13,32,20,2444,4,
Lewis Enoh,25,KSC Lokeren,BEL - Jupiler Pro League,right,189,Cameroon  Portugal,CF,13,16,0,616,0,
Idir Ouali,29,KV Kortrijk,BEL - Jupiler Pro League,right,176,Algeria  France,W,13,32,3,2657,7,
Teddy Chevalier,30,KV Kortrijk,BEL - Jupiler Pro League,right,178,France,CF,13,26,7,1394,5,
Jérémy Perbet,33,KV Kortrijk,BEL - Jupiler Pro League,right,184,France,CF,13,30,11,1585,3,
Athanasios Papazoglou,29,KV Kortrijk,BEL - Jupiler Pro League,right,195,Greece,CF,13,38,11,3226,6,
Fabrice Olinga,21,Royal Excel Mouscron,BEL - Jupiler Pro League,right,176,Cameroon,W,13,15,0,784,0,
Dorin Rotariu,22,Royal Excel Mouscron,BEL - Jupiler Pro League,left,180,Romania,W,13,35,9,2131,6,
Jonathan Bolingi,23,Royal Excel Mouscron,BEL - Jupiler Pro League,right,188,DR Congo,CF,13,3,2,147,0,
Taiwo Awoniyi,20,Royal Excel Mouscron,BEL - Jupiler Pro League,right,178,Nigeria,CF,13,2,1,180,2,
Mario Jelavic,24,Royal Excel Mouscron,BEL - Jupiler Pro League,left,189,Croatia,CF,13,,,,,
Yanis Mbombo,23,Royal Excel Mouscron,BEL - Jupiler Pro League,right,180,Belgium  DR Congo,CF,13,3,1,112,0,
Clément Petit,20,Royal Excel Mouscron,BEL - Jupiler Pro League,left,188,Belgium,CF,13,,,,,
Eric Ocansey,20,KAS Eupen,BEL - Jupiler Pro League,left,173,Ghana,W,13,,,,,
Florian Raspentino,28,KAS Eupen,BEL - Jupiler Pro League,right,179,France,CF,13,24,6,1420,3,
Mbaye Leye,35,KAS Eupen,BEL - Jupiler Pro League,right,183,Senegal,CF,13,14,1,911,1,
Mamadou Koné,26,KAS Eupen,BEL - Jupiler Pro League,right,176,Cote d'Ivoire,CF,13,41,22,2950,0,
Moussa Diallo,27,KAS Eupen,BEL - Jupiler Pro League,right,183,Belgium  Senegal,CF,13,,,,,
Damien Mouchamps,22,KAS Eupen,BEL - Jupiler Pro League,,172,Belgium,CF,13,,,,,
Yacine Brahimi,28,FC Porto,PRT - Liga NOS,right,175,Algeria  France,W,13,36,3,2858,3,
Jesús Corona,25,FC Porto,PRT - Liga NOS,both,173,Mexico,W,13,19,2,581,0,
Hernâni,26,FC Porto,PRT - Liga NOS,left,180,Portugal  Cape Verde,W,13,4,0,49,0,
Vincent Aboubakar,26,FC Porto,PRT - Liga NOS,right,184,Cameroon,CF,13,36,16,2952,8,
Tiquinho Soares,27,FC Porto,PRT - Liga NOS,right,187,Brazil,CF,13,,,,,
Gonçalo Paciência,23,FC Porto,PRT - Liga NOS,right,184,Portugal,CF,13,19,5,1633,0,
Gelson Martins,22,Sporting CP,PRT - Liga NOS,right,173,Portugal  Cape Verde,W,13,,,,,
Daniel Podence,22,Sporting CP,PRT - Liga NOS,right,165,Portugal,W,13,4,0,129,0,
Bas Dost,28,Sporting CP,PRT - Liga NOS,right,196,Netherlands,CF,13,15,5,723,1,
Seydou Doumbia,30,Sporting CP,PRT - Liga NOS,both,179,Cote d'Ivoire,CF,13,27,20,2023,9,
Franco Cervi,23,SL Benfica,PRT - Liga NOS,left,166,Argentina  Italy,W,13,0,0,0,0,
Diogo Gonçalves,21,SL Benfica,PRT - Liga NOS,right,178,Portugal,W,13,,,,,
Eduardo Salvio,27,SL Benfica,PRT - Liga NOS,right,173,Argentina,W,13,22,2,1117,4,
Rafa Silva,24,SL Benfica,PRT - Liga NOS,right,171,Portugal,W,13,32,8,2318,3,
Andrija Zivkovic,21,SL Benfica,PRT - Liga NOS,left,169,Serbia,W,13,25,5,1655,1,
RaAsl JimAŠnez,26,SL Benfica,PRT - Liga NOS,right,190,Mexico,CF,13,20,11,1675,1,
Jonas,33,SL Benfica,PRT - Liga NOS,right,182,Brazil  Italy,CF,13,40,11,2583,1,
Haris Seferovic,26,SL Benfica,PRT - Liga NOS,left,185,Switzerland  Bosnia-Herzegovina,CF,13,40,4,1859,2,
Ahmed Hassan,25,SC Braga,PRT - Liga NOS,right,191,Egypt,CF,13,36,6,2470,2,
Dyego Sousa,28,SC Braga,PRT - Liga NOS,right,190,Brazil,CF,13,30,7,2448,1,
Raphinha,21,Vitória Guimarães SC,PRT - Liga NOS,left,176,Brazil  Italy,W,13,,,,,
Héldon,29,Vitória Guimarães SC,PRT - Liga NOS,right,174,Cape Verde  South Africa,W,13,31,11,2215,5,
Fábio Sturgeon,24,Vitória Guimarães SC,PRT - Liga NOS,both,183,Portugal  England,W,13,17,0,689,1,
Hélder Ferreira,20,Vitória Guimarães SC,PRT - Liga NOS,left,179,Portugal,W,13,,,,,
Welthon,25,VitAlria GuimarALes SC,PRT - Liga NOS,left,180,Brazil,CF,13,9,2,580,1,
Junior Tallo,25,Vitória Guimarães SC,PRT - Liga NOS,right,185,Cote d'Ivoire,CF,13,23,7,1620,1,
Sebastián Rincón,24,Vitória Guimarães SC,PRT - Liga NOS,,185,Colombia,CF,13,,,,,
Óscar Estupiñán,21,Vitória Guimarães SC,PRT - Liga NOS,left,182,Colombia,CF,13,,,,,
Rafael Martins,28,Vitória Guimarães SC,PRT - Liga NOS,right,177,Brazil,CF,13,32,15,2510,1,
Hélder Guedes,30,Rio Ave FC,PRT - Liga NOS,right,184,Portugal,CF,13,48,8,2227,0,
Ricardo Valente,26,CS Marítimo,PRT - Liga NOS,right,181,Portugal,W,13,35,1,1881,1,
Gevorg Ghazaryan,29,CS Marítimo,PRT - Liga NOS,both,180,Armenia,W,13,21,1,1259,1,
Ibson,28,CS Marítimo,PRT - Liga NOS,left,179,Brazil,W,13,,,,,
Edgar Costa,30,CS Marítimo,PRT - Liga NOS,right,177,Portugal,W,13,19,6,1020,0,
Rodrigo Pinho,26,CS Marítimo,PRT - Liga NOS,left,185,Brazil  Germany,CF,13,,,,,
Joel Tagueu,24,CS Marítimo,PRT - Liga NOS,left,178,Cameroon  Brazil,CF,13,20,8,1584,1,
Everton,24,CS Marítimo,PRT - Liga NOS,right,186,Brazil,CF,13,,,,,
André Claro,26,GD Estoril Praia,PRT - Liga NOS,right,183,Portugal,W,13,28,3,1477,0,
Matheus Índio,22,GD Estoril Praia,PRT - Liga NOS,left,179,Brazil,W,13,,,,,
Jorman Aguilar,23,GD Estoril Praia,PRT - Liga NOS,,181,Panama,W,13,2,0,74,0,
Allano Lima,22,GD Estoril Praia,PRT - Liga NOS,left,182,Brazil,W,13,,,,,
Ewandro Costa,21,GD Estoril Praia,PRT - Liga NOS,left,174,Brazil,W,13,5,0,105,0,
Victor Andrade,22,GD Estoril Praia,PRT - Liga NOS,right,177,Brazil,W,13,2,0,91,0,
Kléber,27,GD Estoril Praia,PRT - Liga NOS,right,188,Brazil,CF,13,15,3,1232,0,
Bruno Gomes,21,GD Estoril Praia,PRT - Liga NOS,right,182,Brazil,CF,13,0,0,0,0,
Jorginho,22,GD Chaves,PRT - Liga NOS,right,171,Portugal  Guinea-Bissau,W,13,1,0,12,0,
Davidson,27,GD Chaves,PRT - Liga NOS,right,177,Brazil,W,13,,,,,
Matheus Pereira,21,GD Chaves,PRT - Liga NOS,left,175,Brazil  Portugal,W,13,4,0,89,1,
Perdigão,26,GD Chaves,PRT - Liga NOS,right,185,Brazil,W,13,1,0,120,0,
William B,26,GD Chaves,PRT - Liga NOS,right,182,Brazil,CF,13,34,8,2851,7,
Platiny,27,GD Chaves,PRT - Liga NOS,right,178,Brazil,CF,13,17,1,718,0,
Shoya Nakajima,23,Portimonense SC,PRT - Liga NOS,right,164,Japan,W,13,35,2,2779,2,
Wilson Manafá,23,Portimonense SC,PRT - Liga NOS,right,177,Portugal  Guinea-Bissau,W,13,13,1,395,0,
Wellington Carvalho,25,Portimonense SC,PRT - Liga NOS,both,182,Brazil,W,13,,,,,
Tabata,20,Portimonense SC,PRT - Liga NOS,left,178,Brazil,W,13,,,,,
Fabrício,27,Portimonense SC,PRT - Liga NOS,right,183,Brazil,CF,13,24,4,1407,0,
Rui Costa,22,Portimonense SC,PRT - Liga NOS,right,179,Portugal,CF,13,,,,,
Pires,36,Portimonense SC,PRT - Liga NOS,right,179,Portugal,CF,13,45,26,3388,0,
Yannick Djaló,31,Vitória Setúbal FC,PRT - Liga NOS,right,171,Portugal  Guinea-Bissau,W,13,18,3,1134,1,
André Pereira,22,Vitória Setúbal FC,PRT - Liga NOS,left,188,Portugal,CF,13,,,,,
Edinho,35,Vitória Setúbal FC,PRT - Liga NOS,right,182,Portugal  Guinea-Bissau,CF,13,29,13,1957,2,
Allef,23,Vitória Setúbal FC,PRT - Liga NOS,right,0,Brazil,CF,13,,,,,
Nathan,21,CF Belenenses,PRT - Liga NOS,right,177,Brazil,W,13,13,0,400,1,
Diogo Viana,28,CF Belenenses,PRT - Liga NOS,right,174,Portugal,W,13,31,4,2275,4,
Licá,29,CF Belenenses,PRT - Liga NOS,right,181,Portugal,W,13,36,4,1630,5,
Benny,21,CF Belenenses,PRT - Liga NOS,right,0,Portugal,W,13,,,,,
Maurides,24,CF Belenenses,PRT - Liga NOS,left,189,Brazil,CF,13,1,0,10,0,
Yazalde,29,CF Belenenses,PRT - Liga NOS,right,183,Guinea-Bissau  Portugal,CF,13,34,8,2181,2,
Tiago Caeiro,33,CF Belenenses,PRT - Liga NOS,right,192,Portugal,CF,13,20,2,862,0,
Kuca,28,Boavista Porto FC,PRT - Liga NOS,right,181,Cape Verde,W,13,38,12,3281,0,
Mateus,33,Boavista Porto FC,PRT - Liga NOS,right,176,Angola  Portugal,W,13,11,2,590,0,
Renato Santos,26,Boavista Porto FC,PRT - Liga NOS,right,175,Portugal,W,13,12,0,429,0,
Ricardo Clarke,25,Boavista Porto FC,PRT - Liga NOS,right,180,Panama,W,13,7,0,528,0,
Rui Pedro,19,Boavista Porto FC,PRT - Liga NOS,right,182,Portugal,CF,13,,,,,
Leonardo Ruiz,21,Boavista Porto FC,PRT - Liga NOS,right,185,Colombia,CF,13,,,,,
Iván Bulos,24,Boavista Porto FC,PRT - Liga NOS,left,188,Peru,CF,13,,,,,
Yusupha Njie,24,Boavista Porto FC,PRT - Liga NOS,both,188,The Gambia,CF,13,8,0,417,0,
Idé Colubali,24,Boavista Porto FC,PRT - Liga NOS,right,204,Guinea-Bissau,CF,13,,,,,
Hêndrio,23,FC Paços de Ferreira,PRT - Liga NOS,left,181,Brazil,W,13,,,,,
Awer Mabil,22,FC Paços de Ferreira,PRT - Liga NOS,right,179,Australia  Southern Sudan,W,13,21,2,718,2,
Bruno Moreira,30,FC Paços de Ferreira,PRT - Liga NOS,right,185,Portugal,CF,13,20,1,825,1,
Luiz Phellype,24,FC Paços de Ferreira,PRT - Liga NOS,right,188,Brazil,CF,13,31,7,2198,0,
Rabiola,28,FC Paços de Ferreira,PRT - Liga NOS,right,182,Portugal,CF,13,16,0,629,1,
Arsénio,28,Moreirense FC,PRT - Liga NOS,right,180,Portugal,W,13,24,3,1333,1,
Bilel Aouacheria,23,Moreirense FC,PRT - Liga NOS,right,182,France  Algeria,W,13,,,,,
Ousmane Dramé,25,Moreirense FC,PRT - Liga NOS,right,174,France  Mali,W,13,19,6,1483,0,
Zizo,22,Moreirense FC,PRT - Liga NOS,right,174,Egypt,W,13,5,0,291,0,
Edno,34,Moreirense FC,PRT - Liga NOS,left,183,Brazil,CF,13,31,11,2184,1,
Ronaldo Peña,21,Moreirense FC,PRT - Liga NOS,right,184,Venezuela,CF,13,,,,,
Murilo,21,CD Tondela,PRT - Liga NOS,left,176,Brazil,W,13,,,,,
Tyler Boyd,23,CD Tondela,PRT - Liga NOS,right,180,New Zealand  United States,W,13,20,2,774,3,
Juan Delgado,25,CD Tondela,PRT - Liga NOS,right,177,Chile,W,13,,,,,
Miguel Cardoso,23,CD Tondela,PRT - Liga NOS,both,176,Portugal,W,13,,,,,
Harramiz,27,CD Tondela,PRT - Liga NOS,right,180,Sao Tome and Principe  Portugal,W,13,18,3,761,0,
Tomané,25,CD Tondela,PRT - Liga NOS,right,186,Portugal,CF,13,29,6,1716,4,
Heliardo,26,CD Tondela,PRT - Liga NOS,right,190,Brazil,CF,13,,,,,
Luís Machado,25,CD Feirense,PRT - Liga NOS,right,168,Portugal,W,13,1,0,90,0,
Edson Farias,26,CD Feirense,PRT - Liga NOS,both,170,Brazil,W,13,10,0,328,1,
Hugo Seco,29,CD Feirense,PRT - Liga NOS,right,176,Portugal,W,13,1,0,89,1,
Zé Manuel,27,CD Feirense,PRT - Liga NOS,right,181,Portugal,W,13,,,,,
Anastasios Karamanos,27,CD Feirense,PRT - Liga NOS,right,185,Greece,CF,13,40,9,2542,3,
João Silva,27,CD Feirense,PRT - Liga NOS,right,187,Portugal,CF,13,47,8,3263,5,
José Valencia,26,CD Feirense,PRT - Liga NOS,right,186,Colombia,CF,13,19,7,857,0,
Amilton,28,Desportivo Aves,PRT - Liga NOS,right,172,Brazil,W,13,1,0,90,0,
Nildo Petrolina,31,Desportivo Aves,PRT - Liga NOS,left,175,Brazil,W,13,25,4,1431,5,
Sami,29,Desportivo Aves,PRT - Liga NOS,right,184,Guinea-Bissau  Portugal,W,13,26,1,1880,2,
Hamdou Elhouni,24,Desportivo Aves,PRT - Liga NOS,right,175,Libya,W,13,,,,,
Derley,30,Desportivo Aves,PRT - Liga NOS,right,183,Brazil,CF,13,34,19,3027,7,
Cristian Arango,23,Desportivo Aves,PRT - Liga NOS,right,178,Colombia,CF,13,6,0,419,0,
Alexandre Guedes,24,Desportivo Aves,PRT - Liga NOS,right,185,Portugal,CF,13,17,0,706,0,
Federico Falcone,28,Desportivo Aves,PRT - Liga NOS,right,185,Argentina,CF,13,1,0,68,0,
Dmitri Poloz,26,Zenit St. Petersburg,RUS - Premier Liga,right,183,Russia,W,14,24,4,1522,2,
Emiliano Rigoni,25,Zenit St. Petersburg,RUS - Premier Liga,both,180,Argentina  Italy,W,14,48,7,2832,6,
Sebastián Driussi,22,Zenit St. Petersburg,RUS - Premier Liga,both,179,Argentina  Italy,CF,14,37,4,2231,4,
Aleksandr Kokorin,26,Zenit St. Petersburg,RUS - Premier Liga,right,183,Russia,CF,14,39,10,2785,7,
Anton Zabolotnyi,26,Zenit St. Petersburg,RUS - Premier Liga,right,188,Russia,CF,14,,,,,
Quincy Promes,26,Spartak Moscow,RUS - Premier Liga,both,174,Netherlands  Suriname,W,14,29,13,2499,5,
Pedro Rocha,23,Spartak Moscow,RUS - Premier Liga,right,175,Brazil,W,14,34,5,1983,3,
Lorenzo Melgarejo,27,Spartak Moscow,RUS - Premier Liga,left,178,Paraguay,W,14,15,1,990,0,
Zelimkhan Bakaev,21,Spartak 2 Moscow,RUS - Premier Liga,left,180,Russia,W,14,,,,,
Luiz Adriano,30,Spartak Moscow,RUS - Premier Liga,right,183,Brazil,CF,14,33,21,2681,11,
Zé Luís,27,Spartak Moscow,RUS - Premier Liga,left,184,Cape Verde,CF,14,25,11,1604,5,
Ahmed Musa,25,CSKA Moscow,RUS - Premier Liga,both,170,Nigeria,CF,14,39,11,3226,11,
Fedor Chalov,19,CSKA Moscow,RUS - Premier Liga,right,180,Russia,CF,14,,,,,
Timur Zhamaletdinov,20,CSKA Moscow,RUS - Premier Liga,right,181,Russia,CF,14,6,3,465,0,
